English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Attack on Titan,TV,25,Finished Airing,"Apr 7, 2013","Sep 29, 2013",Spring 2013,Wit Studio,Manga,"Action, Drama",Shounen,8.531,1,155695
Death Note,TV,37,Finished Airing,"Oct 4, 2006","Jun 27, 2007",Fall 2006,Madhouse,Manga,"Supernatural, Suspense",Shounen,8.621,2,159701
Fullmetal Alchemist Brotherhood,TV,64,Finished Airing,"Apr 5, 2009","Jul 4, 2010",Spring 2009,Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,9.131,3,207772
One Punch Man,TV,12,Finished Airing,"Oct 5, 2015","Dec 21, 2015",Fall 2015,Madhouse,Web manga,"Action, Comedy",Seinen,8.511,4,59651
Sword Art Online,TV,25,Finished Airing,"Jul 8, 2012","Dec 23, 2012",Summer 2012,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",Unknown,7.201,5,64997
My Hero Academia,TV,13,Finished Airing,"Apr 3, 2016","Jun 26, 2016",Spring 2016,Bones,Manga,Action,Shounen,7.921,6,52169
Naruto,TV,220,Finished Airing,"Oct 3, 2002","Feb 8, 2007",Fall 2002,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,7.971,7,71876
Tokyo Ghoul,TV,12,Finished Airing,"Jul 4, 2014","Sep 19, 2014",Summer 2014,Pierrot,Manga,"Action, Fantasy, Horror",Seinen,7.791,8,47433
Demon Slayer Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019","Sep 28, 2019",Spring 2019,ufotable,Manga,"Action, Fantasy",Shounen,8.531,9,83110
Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011","Sep 24, 2014",Fall 2011,Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,9.041,10,188649
Your Name.,Movie,1,Finished Airing,"Aug 26, 2016",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Supernatural",Unknown,8.861,11,83505
Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017","Jun 17, 2017",Spring 2017,Wit Studio,Manga,"Action, Drama",Shounen,8.501,12,20123
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011","Sep 14, 2011",Spring 2011,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Unknown,9.081,13,175248
My Hero Academia Season 2,TV,25,Finished Airing,"Apr 1, 2017","Sep 30, 2017",Spring 2017,Bones,Manga,Action,Shounen,8.141,14,17147
"No Game, No Life",TV,12,Finished Airing,"Apr 9, 2014","Jun 25, 2014",Spring 2014,Madhouse,Light novel,"Comedy, Fantasy, Ecchi",Unknown,8.101,15,46672
Naruto Shippuden,TV,500,Finished Airing,"Feb 15, 2007","Mar 23, 2017",Winter 2007,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,8.241,16,100796
Code Geass Lelouch of the Rebellion,TV,25,Finished Airing,"Oct 6, 2006","Jul 29, 2007",Fall 2006,Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,8.701,17,101425
Attack on Titan Season 3,TV,12,Finished Airing,"Jul 23, 2018","Oct 15, 2018",Summer 2018,Wit Studio,Manga,"Action, Drama",Shounen,8.621,18,18914
A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",Not Available,Unknown,Kyoto Animation,Manga,Drama,Shounen,8.951,19,78715
Toradora!,TV,25,Finished Airing,"Oct 2, 2008","Mar 26, 2009",Fall 2008,J.C.Staff,Light novel,"Drama, Romance",Unknown,8.101,20,54069
Your Lie in April,TV,22,Finished Airing,"Oct 10, 2014","Mar 20, 2015",Fall 2014,A-1 Pictures,Manga,"Drama, Romance",Shounen,8.661,21,80730
Jujutsu Kaisen,TV,24,Finished Airing,"Oct 3, 2020","Mar 27, 2021",Fall 2020,MAPPA,Manga,"Action, Fantasy",Shounen,8.671,22,74093
Noragami,TV,12,Finished Airing,"Jan 5, 2014","Mar 23, 2014",Winter 2014,Bones,Manga,"Action, Fantasy",Shounen,7.961,23,31615
ReZERO -Starting Life in Another World-,TV,25,Finished Airing,"Apr 4, 2016","Sep 19, 2016",Spring 2016,White Fox,Light novel,"Drama, Fantasy, Suspense",Unknown,8.241,24,62373
My Hero Academia Season 3,TV,25,Finished Airing,"Apr 7, 2018","Sep 29, 2018",Spring 2018,Bones,Manga,Action,Shounen,8.071,26,12713
Angel Beats!,TV,13,Finished Airing,"Apr 3, 2010","Jun 26, 2010",Spring 2010,P.A. Works,Original,"Drama, Supernatural",Unknown,8.071,27,46669
Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019","Jul 1, 2019",Spring 2019,Wit Studio,Manga,"Action, Drama",Shounen,9.071,28,52595
Akame ga Kill!,TV,24,Finished Airing,"Jul 7, 2014","Dec 15, 2014",Summer 2014,White Fox,Manga,"Action, Fantasy",Shounen,7.471,29,26892
