ID,Title,English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Licensors,Studios,Source,Genres,Demographics,Duration_Minutes,Rating,Score,Popularity,Favorites
16498,Shingeki no Kyojin,Attack on Titan,TV,25,Finished Airing,"Apr 7, 2013","Sep 29, 2013",Spring 2013,Funimation,Wit Studio,Manga,"Action, Drama",Shounen,24,R - 17+ (violence & profanity),8.531,1,155695
1535,Death Note,Death Note,TV,37,Finished Airing,"Oct 4, 2006","Jun 27, 2007",Fall 2006,VIZ Media,Madhouse,Manga,"Supernatural, Suspense",Shounen,23,R - 17+ (violence & profanity),8.621,2,159701
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,TV,64,Finished Airing,"Apr 5, 2009","Jul 4, 2010",Spring 2009,"Funimation, Aniplex of America",Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,24,R - 17+ (violence & profanity),9.131,3,207772
30276,One Punch Man,One Punch Man,TV,12,Finished Airing,"Oct 5, 2015","Dec 21, 2015",Fall 2015,VIZ Media,Madhouse,Web manga,"Action, Comedy",Seinen,24,R - 17+ (violence & profanity),8.511,4,59651
11757,Sword Art Online,Sword Art Online,TV,25,Finished Airing,"Jul 8, 2012","Dec 23, 2012",Summer 2012,Aniplex of America,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",Unknown,23,PG-13 - Teens 13 or older,7.201,5,64997
31964,Boku no Hero Academia,My Hero Academia,TV,13,Finished Airing,"Apr 3, 2016","Jun 26, 2016",Spring 2016,Funimation,Bones,Manga,Action,Shounen,24,PG-13 - Teens 13 or older,7.921,6,52169
20,Naruto,Naruto,TV,220,Finished Airing,"Oct 3, 2002","Feb 8, 2007",Fall 2002,VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,23,PG-13 - Teens 13 or older,7.971,7,71876
22319,Tokyo Ghoul,Tokyo Ghoul,TV,12,Finished Airing,"Jul 4, 2014","Sep 19, 2014",Summer 2014,Funimation,Pierrot,Manga,"Action, Fantasy, Horror",Seinen,24,R - 17+ (violence & profanity),7.791,8,47433
38000,Kimetsu no Yaiba,Demon Slayer Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019","Sep 28, 2019",Spring 2019,Aniplex of America,ufotable,Manga,"Action, Fantasy",Shounen,23,R - 17+ (violence & profanity),8.531,9,83110
11061,Hunter x Hunter (2011),Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011","Sep 24, 2014",Fall 2011,VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,23,PG-13 - Teens 13 or older,9.041,10,188649
32281,Kimi no Na wa.,Your Name.,Movie,1,Finished Airing,"Aug 26, 2016",Not Available,Unknown,"Funimation, NYAV Post",CoMix Wave Films,Original,"Drama, Supernatural",Unknown,106,PG-13 - Teens 13 or older,8.861,11,83505
25777,Shingeki no Kyojin Season 2,Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017","Jun 17, 2017",Spring 2017,Funimation,Wit Studio,Manga,"Action, Drama",Shounen,24,R - 17+ (violence & profanity),8.501,12,20123
9253,Steins;Gate,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011","Sep 14, 2011",Spring 2011,Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Unknown,24,PG-13 - Teens 13 or older,9.081,13,175248
33486,Boku no Hero Academia 2nd Season,My Hero Academia Season 2,TV,25,Finished Airing,"Apr 1, 2017","Sep 30, 2017",Spring 2017,Funimation,Bones,Manga,Action,Shounen,23,PG-13 - Teens 13 or older,8.141,14,17147
19815,No Game No Life,"No Game, No Life",TV,12,Finished Airing,"Apr 9, 2014","Jun 25, 2014",Spring 2014,Sentai Filmworks,Madhouse,Light novel,"Comedy, Fantasy, Ecchi",Unknown,23,PG-13 - Teens 13 or older,8.101,15,46672
1735,Naruto: Shippuuden,Naruto Shippuden,TV,500,Finished Airing,"Feb 15, 2007","Mar 23, 2017",Winter 2007,VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,23,PG-13 - Teens 13 or older,8.241,16,100796
1575,Code Geass: Hangyaku no Lelouch,Code Geass Lelouch of the Rebellion,TV,25,Finished Airing,"Oct 6, 2006","Jul 29, 2007",Fall 2006,"Funimation, Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,24,R - 17+ (violence & profanity),8.701,17,101425
35760,Shingeki no Kyojin Season 3,Attack on Titan Season 3,TV,12,Finished Airing,"Jul 23, 2018","Oct 15, 2018",Summer 2018,Funimation,Wit Studio,Manga,"Action, Drama",Shounen,23,R - 17+ (violence & profanity),8.621,18,18914
28851,Koe no Katachi,A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",Not Available,Unknown,"Eleven Arts, NYAV Post",Kyoto Animation,Manga,Drama,Shounen,130,PG-13 - Teens 13 or older,8.951,19,78715
4224,Toradora!,Toradora!,TV,25,Finished Airing,"Oct 2, 2008","Mar 26, 2009",Fall 2008,"NIS America, Inc.",J.C.Staff,Light novel,"Drama, Romance",Unknown,24,PG-13 - Teens 13 or older,8.101,20,54069
23273,Shigatsu wa Kimi no Uso,Your Lie in April,TV,22,Finished Airing,"Oct 10, 2014","Mar 20, 2015",Fall 2014,Aniplex of America,A-1 Pictures,Manga,"Drama, Romance",Shounen,22,PG-13 - Teens 13 or older,8.661,21,80730
40748,Jujutsu Kaisen,Jujutsu Kaisen,TV,24,Finished Airing,"Oct 3, 2020","Mar 27, 2021",Fall 2020,Unknown,MAPPA,Manga,"Action, Fantasy",Shounen,23,R - 17+ (violence & profanity),8.671,22,74093
